DateTime,V L1,A L1,W L1,S L1,Q L1,PF L1,V L2,A L2,W L2,S L2,Q L2,PF L2,V L3,A L3,W L3,S L3,Q L3,PF L3,V Total,A Total,W Total,S Total,Q Total,PF Total,kWh
2017-04-01 18:44:18,233.6,30.7547,6897.51,7184.29792,2009.6000605136148,0.9600812879430256,231.31,38.3418,-4468.22,8868.841758,0,-0.5038109960603945,229.54,75.5617,4380.13,17344.432618,16782.24669177051,0.25253809660249793,231.48333333333332,144.6582,6809.42,33397.572296,32696.018634233536,0.20388967017268975,2005108.87
2017-04-01 18:49:18,232.78,30.9725,6916.44,7209.77855,2035.6238519039082,0.9593137919610581,229.59,41.7211,-4883.13,9578.747349,0,-0.509787952650175,228.4,114.3923,9039.3,26127.201320000004,24513.704418667734,0.34597276184650294,230.25666666666666,187.0859,11072.609999999999,42915.72721900001,41462.71759693904,0.2580082109175547,2005109.94
2017-04-01 18:54:18,232.45,76.1679,16277.03,17705.228355,6966.592099570346,0.9193346549186601,228.96,79.5366,-12462.51,18210.699936,0,-0.6843509609075138,227.96,176.8271,12762.93,40309.505716,38235.6361119223,0.3166233317253014,229.79,332.5316,16577.45,76225.434007,74400.97405984018,0.21747924713000186,2005111.85
2017-04-01 18:59:18,232.16,98.52,21479.13,22872.403199999997,7860.903420502637,0.9390849668127573,228.65,100.8766,-15181.61,23065.43459,0,-0.6581974400162386,227.48,191.5264,11352.2,43568.425471999995,42063.46696682548,0.2605602538309696,229.42999999999998,390.923,17649.72,89506.263262,87748.8378672222,0.19718977596390413,2005114.41
2017-04-01 19:04:18,234.21,109.8655,23858.6,25731.598755,9637.550546083667,0.9272101678238687,230.46,109.1683,-17555.69,25158.926418000003,0,-0.6977916985932971,229.41,207.1177,11684.7,47514.871557000006,46055.73585329202,0.2459166912822809,231.36,426.1515,17987.61,98405.39673000001,96747.4443697434,0.182790889501249,2005117.31
2017-04-01 19:09:18,232.97,111.6277,24223.37,26005.905269000003,9462.317617967712,0.9314565191804781,228.85,111.3758,-17329.47,25488.35183,0,-0.6798976299284708,227.85,206.3583,10881.21,47018.738655,45742.33327720714,0.23142283930330157,229.89,429.3618,17775.109999999997,98512.995754,96896.10826506666,0.18043416367508303,2005120.26
2017-04-01 19:14:18,233.73,113.8995,24807.84,26621.730134999998,9658.550093837428,0.9318643031162258,229.16,113.0916,-17268.83,25916.071056,0,-0.666336728383139,228.12,207.9538,10707.09,47438.420856000004,46214.30511262585,0.22570502573223344,230.33666666666667,434.9449,18246.1,99976.222047,98297.12513385653,0.1825043958094585,2005123.18
2017-04-01 19:19:18,233.45,116.0715,25335.36,27096.891675,9610.46680016555,0.9349913747994493,228.76,117.8453,-17475.55,26958.290827999997,0,-0.6482439896319083,227.61,209.1577,10262.99,47606.384097,46486.974982794854,0.21558012007567573,229.93999999999997,443.0745,18122.800000000003,101661.56659999999,100033.18571217371,0.17826599182074776,2005126.16
2017-04-01 19:24:18,232.76,116.361,25367.5,27084.18636,9489.10399000928,0.9366166538221974,228.1,118.5057,-17270.76,27031.15017,0,-0.6389206486362395,226.79,201.6283,9123.66,45727.282156999994,44807.84709925584,0.19952333857662558,229.21666666666667,436.495,17220.4,99842.618687,98346.35900793523,0.1724754441185564,2005129.08
2017-04-01 19:29:18,232.31,117.1913,25540.07,27224.710903,9428.1338634444,0.9381208891803379,227.63,119.9524,-17270.49,27304.764811999998,0,-0.6325082863343289,226.27,201.1905,8725.72,45523.374435,44679.29532155595,0.19167559760884847,228.73666666666668,438.3342,16995.299999999996,100052.85014999998,98598.84685455683,0.16986322702971993,2005131.94
2017-04-01 19:34:18,231.96,130.9795,28382.58,30382.004820000002,10839.528099788442,0.9341904909881454,227.28,130.5301,-19248.25,29666.881128,0,-0.6488127254412748,225.78,212.8028,8671.66,48046.616184,47257.588169277224,0.18048430230322338,228.34,474.31239999999997,17805.99,108095.502132,106618.87403874192,0.16472461525972054,2005134.85
2017-04-01 19:39:18,234.58,127.3981,28112.61,29885.046298,10138.89299783283,0.9406915324699157,229.81,122.3474,-18096.72,28116.655993999997,0,-0.6436298827236704,228.35,208.9182,8780.35,47706.47097,46891.50057621267,0.18404945537726913,230.91333333333333,458.6637,18796.239999999998,105708.173262,104023.64758193884,0.17781255147994196,2005138.02
2017-04-01 19:44:18,234.15,125.6515,27794.84,29421.298725,9646.744945321538,0.9447183232731341,229.36,119.1892,-17346.58,27337.234912,0,-0.63454040087959,227.85,205.4919,8556.67,46821.32941499999,46032.81749685808,0.1827515388159553,230.45333333333335,450.33259999999996,19004.93,103579.863052,101821.41555471606,0.18348093384192826,2005141.05
2017-04-01 19:49:18,233.98,139.6327,30479.87,32671.259146,11763.872617815472,0.932926088455691,229.25,133.5747,-20186.65,30621.999975000002,0,-0.6592204956070966,227.66,218.419,9362.37,49725.26954,48835.9340937465,0.18828193565584844,230.29666666666665,491.6264,19655.589999999997,113018.528661,111296.20659505506,0.17391475745501075,2005144.16
2017-04-01 19:54:18,234.06,127.0828,28040.31,29745.000168000002,9925.021415504358,0.9426898585183426,229.36,122.2679,-17748.28,28043.365544,0,-0.6328869469020391,227.72,206.9387,8657.01,47124.080764000006,46322.080757581425,0.18370671341802472,230.38,456.2894,18949.04,104912.44647600001,103186.99195469343,0.1806176544013281,2005147.43
2017-04-01 19:59:18,234.07,125.1323,27635.96,29289.717461,9702.642105303503,0.9435379510505002,229.24,121.3046,-17373.41,27807.866504,0,-0.6247660171088975,227.61,205.7029,8446.58,46820.037069000005,46051.831206219525,0.18040523948223358,230.3066666666667,452.1398,18709.129999999997,103917.62103400001,102219.56963326123,0.1800380899200791,2005150.44
2017-04-01 20:04:18,233.82,146.1733,31847.43,34178.241006000004,12405.37628044068,0.9318042433608321,229.11,138.3927,-20990.35,31707.151497,0,-0.6620068031650846,227.4,222.2375,9625.84,50536.8075,49611.612719064644,0.19047186548141173,230.11,506.80350000000004,20482.920000000002,116422.200003,114606.189369563,0.17593654817957563,2005153.62
2017-04-01 20:09:18,233.69,136.9175,30045.11,31996.250575,11002.336840239332,0.9390197119994895,228.96,129.5682,-19072.83,29665.935072,0,-0.6429202367533585,227.26,213.3371,8974.58,48482.989345999995,47645.11695596883,0.1851078104106308,229.97,479.8227999999999,19946.86,110145.174993,108323.96941757161,0.1810960852462913,2005157.09
2017-04-01 20:14:18,233.62,130.6608,28776.44,30524.976096,10182.861414542152,0.942717855355532,228.93,123.9362,-17973,28372.714266,0,-0.6334607197428997,227.19,208.4051,8601.4,47347.554669,46559.712747974976,0.18166513688259425,229.91333333333333,463.0021,19404.839999999997,106245.245031,104458.14605032788,0.18264196194698498,2005160.18
2017-04-01 20:19:18,233.29,152.0936,32974.5,35481.915944,13101.477352080621,0.9293325662583335,228.59,143.5412,-21956.12,32812.082908000004,0,-0.6691474010217991,226.85,227.1003,9672.55,51517.703055,50601.53658299969,0.18775196537146932,229.57666666666668,522.7351000000001,20690.93,119811.70190700001,118011.56438920267,0.17269540179022472,2005163.54
2017-04-01 20:24:18,232.94,147.3833,32037.59,34331.465901999996,12338.65381522994,0.9331844463458706,228.3,139.128,-21003.52,31762.9224,0,-0.6612590534175785,226.58,222.7109,9218.58,50461.835722,49612.64604128382,0.18268419822826515,229.27333333333334,509.22220000000004,20252.65,116556.224024,114783.20228461294,0.17375863167830313,2005167.08
2017-04-01 20:29:18,233.16,127.3956,28125.37,29703.558096,9553.267813975866,0.9468687188619155,228.52,120.4755,-17172.15,27531.061260000002,0,-0.6237373066671241,226.74,204.7892,8279.6,46433.903208,45689.77556270016,0.1783093694043262,229.47333333333336,452.6603,19232.82,103668.52256400001,101868.84315358735,0.18552227353415374,2005170.28
2017-04-01 20:34:18,233.12,144.1869,31471.83,33612.850128000005,11804.558872676687,0.936303523210711,228.52,136.0642,-20337.64,31093.390984,0,-0.6540824064659051,226.76,220.0641,9002.91,49901.735316,49082.89721562921,0.1804127640650083,229.46666666666667,500.3152,20137.100000000002,114607.976428,112825.0214469778,0.1757041754650533,2005173.42
2017-04-01 20:39:18,233.35,154.3885,33552.06,36026.556475,13121.434418643576,0.9313146546016094,228.7,144.5685,-22108.53,33062.81595,0,-0.6686826080825702,226.89,228.9938,9537.91,51956.40328199999,51073.43844733503,0.18357525535845465,229.64666666666665,527.9508,20981.44,121045.775707,119213.50171870529,0.1733347560247545,2005176.96
2017-04-01 20:44:18,233.41,147.6083,32166.21,34453.253303000005,12343.484005603152,0.9336189449836116,228.81,138.4054,-20922.88,31668.539574,0,-0.6606834505616979,226.99,222.9157,9453.98,50599.634743,49708.603865775716,0.1868388981070238,229.73666666666668,508.9294,20697.309999999998,116721.42762,114871.72421625262,0.17732228282353146,2005180.54
2017-04-01 20:49:18,233.52,126.9228,28028.71,29639.012256,9636.517174125638,0.9456695033528312,228.89,119.4474,-17081.83,27340.315386,0,-0.6247854042220375,227.09,204.5384,8591.75,46448.625256,45647.08775058734,0.18497318171736765,229.83333333333334,450.9086,19538.629999999997,103427.952898,101565.6604290742,0.18891053581297187,2005183.75
2017-04-01 20:54:18,233.34,141.3848,30759.25,32990.729232000005,11927.143610128936,0.9323604150636495,228.75,133.1391,-20035.58,30455.569125,0,-0.6578626036429388,226.92,218.4165,9515.27,49563.07218,48641.11183707657,0.19198305475179284,229.67,492.94040000000007,20238.94,113009.37053700001,111182.29686800577,0.17909081259216145,2005186.9
2017-04-01 20:59:18,233.26,144.2348,31105.17,33644.209448,12821.904252176924,0.9245326464893073,228.66,133.195,-20731.96,30456.3687,0,-0.6807101727790681,226.83,220.8724,10338.75,50100.486492,49022.12760756692,0.20636027160436618,229.58333333333334,498.30219999999997,20711.96,114201.06464,112307.15862253777,0.1813639834732805,2005190.39
2017-04-01 21:04:18,233.4,116.7761,25393.18,27255.54174,9902.068724689918,0.931670345878071,228.83,110.1168,-16427.46,25198.027344000002,0,-0.6519343667555628,227.03,199.6383,9747.17,45323.883249,44263.38294527524,0.21505593301551576,229.75333333333333,426.5312,18712.89,97777.452333,95970.08873904403,0.1913824665452485,2005193.55
2017-04-01 21:09:18,233.08,134.268,28724.76,31295.18544,12420.82101418373,0.917865147502382,228.63,123.2678,-19502.69,28182.717114,0,-0.6920088620664568,226.76,215.3558,10806.53,48834.081207999996,47623.38077865365,0.22129074066063673,229.49,472.8916,20028.6,108311.98376199999,106444.07455795625,0.18491582652580685,2005196.61
2017-04-01 21:14:18,233.12,141.8807,30215.92,33075.228784,13452.469575046145,0.9135513528062675,228.6,130.2231,-20832.52,29769.000659999998,0,-0.6998058227729571,226.74,221.7211,11148.14,50273.042214,49021.40091828288,0.22175184769095738,229.48666666666668,493.82489999999996,20531.539999999997,113117.271658,111238.36124547219,0.18150667620480876,2005200.03
2017-04-01 21:19:18,233.08,128.9006,27700.86,30044.151848,11632.429476514431,0.9220050590925238,228.6,116.2812,-18238.63,26581.88232,0,-0.6861301160105354,226.77,210.0573,10461.65,47634.693921,46471.689707012534,0.21962248812494053,229.48333333333335,455.2391,19923.879999999997,104260.728089,102339.32981700629,0.19109668966624127,2005203.41
2017-04-01 21:24:18,233.3,111.5148,24311.5,26016.40284,9263.054813783627,0.9344681564747789,228.89,99.1051,-14864.54,22684.166338999996,0,-0.6552826221541138,227.01,193.8266,9765.11,44000.576466,42903.302390704295,0.22193141054744292,229.73333333333335,404.4465,19212.07,92701.145645,90688.47098838199,0.20724738476882285,2005206.39
2017-04-01 21:29:18,233.24,117.6211,25445.62,27433.945364,10253.866639006825,0.9275231711072384,228.91,105.6853,-16036.07,24192.422023,0,-0.6628550868017403,226.95,196.4858,10510.44,44592.45231,43336.098740265305,0.2356999773623798,229.69999999999996,419.7922,19919.989999999998,96218.819697,94134.24064751198,0.20702800203462776,2005209.28
2017-04-01 21:34:18,233.21,102.1103,22120.25,23813.143063,8818.181358783966,0.9289092977553914,228.9,86.4247,-13471.59,19782.613830000002,0,-0.6809812957866346,226.94,185.7197,10826.51,42147.228718,40732.97889704734,0.25687359120188785,229.6833333333333,374.25469999999996,19475.17,85742.985611,83501.9600665712,0.22713426481736043,2005212.12
2017-04-01 21:39:18,233.32,93.9346,20312.1,21916.820872,8231.988260762699,0.9267813118804048,229.79,77.391,-12464.83,17783.67789,0,-0.7009140672194215,227.27,134.021,5759.27,30458.95267,29909.506963846798,0.18908299515079816,230.12666666666667,305.34659999999997,13606.539999999999,70159.451432,68827.39784756915,0.193937377249703,2005214.67
2017-04-01 21:44:18,233.7,82.2333,18029.32,19217.92221,6653.732366665442,0.9381513674052904,230.18,67.5971,-10295.36,15559.500478,0,-0.6616767687726794,227.62,120.1255,5265.01,27342.96631,26831.277948127907,0.1925544558811988,230.5,269.9559,12998.97,62120.388997999995,60745.11921300294,0.2092544848748212,2005216.66
2017-04-01 21:49:18,233.78,94.8255,20215.61,22168.30539,9097.410411331519,0.9119149905395633,229.97,77.1986,-13230.66,17753.362042,0,-0.7452481377160888,227.63,144.2312,7676.17,32831.348056,31921.36947728457,0.2338061168523101,230.46,316.25530000000003,14661.12,72753.015488,71260.45763916177,0.20151906971358774,2005218.82
